Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_Count
Tick fever,Weight Loss,Swollen Lymph nodes,Breathing Difficulty,Vomiting,None,None,None,4
Tick fever,Weight Loss,Lethargy,Swollen Lymph nodes,Vomiting,Increased drinking and urination,None,None,5
Tick fever,Fever,Loss of appetite,Nasal Discharge,Lameness,Breathing Difficulty,None,None,5
Tick fever,Fever,Lethargy,Swollen Lymph nodes,Vomiting,Increased drinking and urination,None,None,5
Tick fever,Fever,Weight Loss,Lameness,Heart Complication,Vomiting,None,None,5
Tick fever,Loss of appetite,Weight Loss,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,Vomiting,None,6
Tick fever,Fever,Lethargy,Breathing Difficulty,Heart Complication,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Fever,Loss of appetite,Weight Loss,Heart Complication,Vomiting,Increased drinking and urination,None,6
Tick fever,Fever,Loss of appetite,Weight Loss,Swollen Lymph nodes,Heart Complication,Neurological Disorders,None,6
Tick fever,Fever,Loss of appetite,Weight Loss,Breathing Difficulty,Heart Complication,Increased drinking and urination,None,6
Tick fever,Weight Loss,Lameness,Breathing Difficulty,Vomiting,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Fever,Loss of appetite,Vomiting,Neurological Disorders,None,None,None,4
Tick fever,Loss of appetite,Weight Loss,Swollen Lymph nodes,Breathing Difficulty,None,None,None,4
Tick fever,Swollen Lymph nodes,Heart Complication,Vomiting,Increased drinking and urination,Neurological Disorders,None,None,5
Tick fever,Fever,Lethargy,Breathing Difficulty,Increased drinking and urination,None,None,None,4
Tick fever,Fever,Loss of appetite,Weight Loss,Lethargy,Swollen Lymph nodes,Vomiting,None,6
Tick fever,Fever,Lethargy,Breathing Difficulty,Heart Complication,Vomiting,None,None,5
Tick fever,Loss of appetite,Lameness,Lethargy,Breathing Difficulty,Increased drinking and urination,None,None,5
Tick fever,Fever,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Fever,Loss of appetite,Nasal Discharge,Lameness,Lethargy,Breathing Difficulty,None,6
Tick fever,Fever,Loss of appetite,Nasal Discharge,Lameness,Breathing Difficulty,Heart Complication,None,6
Tick fever,Fever,Nasal Discharge,Weight Loss,Swollen Lymph nodes,None,None,None,4
Tick fever,Loss of appetite,Lameness,Swollen Lymph nodes,Heart Complication,Vomiting,Increased drinking and urination,None,6
Tick fever,Fever,Weight Loss,Lethargy,Increased drinking and urination,None,None,None,4
Tick fever,Fever,Weight Loss,Lameness,Heart Complication,None,None,None,4
Tick fever,Loss of appetite,Lethargy,Heart Complication,Vomiting,None,None,None,4
Tick fever,Fever,Loss of appetite,Nasal Discharge,Breathing Difficulty,Heart Complication,Neurological Disorders,None,6
Tick fever,Loss of appetite,Lameness,Breathing Difficulty,Heart Complication,None,None,None,4
Tick fever,Nasal Discharge,Lethargy,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,Neurological Disorders,None,6
Tick fever,Fever,Loss of appetite,Weight Loss,Breathing Difficulty,None,None,None,4
Tick fever,Loss of appetite,Nasal Discharge,Breathing Difficulty,Heart Complication,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Fever,Weight Loss,Heart Complication,Vomiting,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Nasal Discharge,Lameness,Swollen Lymph nodes,Heart Complication,Increased drinking and urination,None,None,5
Tick fever,Loss of appetite,Nasal Discharge,Lameness,Lethargy,Swollen Lymph nodes,Heart Complication,None,6
Tick fever,Nasal Discharge,Lethargy,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,Vomiting,None,6
Tick fever,Nasal Discharge,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,Neurological Disorders,None,None,5
Tick fever,Fever,Lethargy,Breathing Difficulty,Heart Complication,Vomiting,Increased drinking and urination,None,6
Tick fever,Loss of appetite,Lameness,Breathing Difficulty,Vomiting,None,None,None,4
Tick fever,Loss of appetite,Nasal Discharge,Weight Loss,Lameness,Heart Complication,None,None,5
Tick fever,Fever,Loss of appetite,Nasal Discharge,Swollen Lymph nodes,Heart Complication,Vomiting,None,6
Tick fever,Fever,Nasal Discharge,Lethargy,Breathing Difficulty,Heart Complication,Increased drinking and urination,None,6
Tick fever,Loss of appetite,Lameness,Swollen Lymph nodes,Breathing Difficulty,Neurological Disorders,None,None,5
Tick fever,Loss of appetite,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Weight Loss,Lethargy,Vomiting,Increased drinking and urination,Neurological Disorders,None,None,5
Tick fever,Loss of appetite,Lameness,Breathing Difficulty,Vomiting,Increased drinking and urination,None,None,5
Tick fever,Fever,Loss of appetite,Lameness,Swollen Lymph nodes,Breathing Difficulty,None,None,5
Tick fever,Loss of appetite,Weight Loss,Lameness,Swollen Lymph nodes,Vomiting,Increased drinking and urination,None,6
Tick fever,Weight Loss,Lameness,Swollen Lymph nodes,Heart Complication,None,None,None,4
Tick fever,Lethargy,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,None,None,None,4
Tick fever,Fever,Breathing Difficulty,Heart Complication,Vomiting,Increased drinking and urination,None,None,5
Tick fever,Weight Loss,Lethargy,Vomiting,Neurological Disorders,None,None,None,4
Tick fever,Fever,Nasal Discharge,Weight Loss,Breathing Difficulty,Heart Complication,Increased drinking and urination,None,6
Tick fever,Fever,Lameness,Lethargy,Swollen Lymph nodes,Breathing Difficulty,None,None,5
Tick fever,Weight Loss,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,Increased drinking and urination,None,None,5
Tick fever,Loss of appetite,Lethargy,Swollen Lymph nodes,Heart Complication,Vomiting,Neurological Disorders,None,6
Tick fever,Fever,Loss of appetite,Lameness,Heart Complication,Neurological Disorders,None,None,5
Tick fever,Nasal Discharge,Weight Loss,Breathing Difficulty,Heart Complication,Vomiting,Increased drinking and urination,None,6
Tick fever,Weight Loss,Lameness,Lethargy,Breathing Difficulty,Neurological Disorders,None,None,5
Tick fever,Loss of appetite,Nasal Discharge,Breathing Difficulty,Neurological Disorders,None,None,None,4
Tick fever,Nasal Discharge,Weight Loss,Swollen Lymph nodes,Heart Complication,Increased drinking and urination,None,None,5
Tick fever,Loss of appetite,Nasal Discharge,Weight Loss,Lethargy,Heart Complication,Increased drinking and urination,None,6
Tick fever,Loss of appetite,Nasal Discharge,Lameness,Lethargy,Breathing Difficulty,Heart Complication,None,6
Tick fever,Fever,Nasal Discharge,Weight Loss,Lameness,Heart Complication,Increased drinking and urination,None,6
Tick fever,Fever,Nasal Discharge,Weight Loss,Lameness,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Fever,Nasal Discharge,Lameness,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,None,6
Tick fever,Loss of appetite,Lethargy,Swollen Lymph nodes,Increased drinking and urination,None,None,None,4
Tick fever,Loss of appetite,Nasal Discharge,Weight Loss,Heart Complication,None,None,None,4
Tick fever,Lameness,Lethargy,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,Neurological Disorders,None,6
Tick fever,Fever,Weight Loss,Lameness,Swollen Lymph nodes,Breathing Difficulty,None,None,5
Tick fever,Nasal Discharge,Lameness,Swollen Lymph nodes,Heart Complication,Vomiting,Increased drinking and urination,None,6
Tick fever,Fever,Weight Loss,Lethargy,Swollen Lymph nodes,Breathing Difficulty,Vomiting,None,6
Tick fever,Weight Loss,Breathing Difficulty,Increased drinking and urination,Neurological Disorders,None,None,None,4
Tick fever,Fever,Weight Loss,Swollen Lymph nodes,Neurological Disorders,None,None,None,4
Tick fever,Fever,Weight Loss,Lameness,Lethargy,Swollen Lymph nodes,Increased drinking and urination,None,6
Tick fever,Fever,Loss of appetite,Lethargy,Swollen Lymph nodes,Vomiting,Neurological Disorders,None,6
Tick fever,Loss of appetite,Nasal Discharge,Lameness,Breathing Difficulty,Vomiting,None,None,5
Tick fever,Fever,Nasal Discharge,Weight Loss,Swollen Lymph nodes,Heart Complication,Vomiting,None,6
Tick fever,Fever,Nasal Discharge,Lameness,Increased drinking and urination,Neurological Disorders,None,None,5
Tick fever,Fever,Nasal Discharge,Weight Loss,Lethargy,Breathing Difficulty,None,None,5
Tick fever,Fever,Weight Loss,Swollen Lymph nodes,Heart Complication,Vomiting,Increased drinking and urination,None,6
Tick fever,Loss of appetite,Lethargy,Breathing Difficulty,Heart Complication,None,None,None,4
Tick fever,Fever,Nasal Discharge,Breathing Difficulty,Vomiting,Increased drinking and urination,None,None,5
Tick fever,Fever,Nasal Discharge,Lethargy,Swollen Lymph nodes,Heart Complication,Neurological Disorders,None,6
Tick fever,Weight Loss,Lameness,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,None,None,5
Tick fever,Loss of appetite,Weight Loss,Lethargy,Swollen Lymph nodes,Breathing Difficulty,None,None,5
Tick fever,Fever,Lameness,Swollen Lymph nodes,Vomiting,Increased drinking and urination,None,None,5
Tick fever,Fever,Loss of appetite,Weight Loss,Breathing Difficulty,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Fever,Loss of appetite,Weight Loss,Lameness,Swollen Lymph nodes,Heart Complication,None,6
Tick fever,Fever,Lameness,Swollen Lymph nodes,Breathing Difficulty,Neurological Disorders,None,None,5
Tick fever,Fever,Loss of appetite,Weight Loss,Lameness,Increased drinking and urination,None,None,5
Tick fever,Loss of appetite,Nasal Discharge,Swollen Lymph nodes,Breathing Difficulty,Vomiting,Increased drinking and urination,None,6
Tick fever,Loss of appetite,Swollen Lymph nodes,Vomiting,Neurological Disorders,None,None,None,4
Tick fever,Fever,Loss of appetite,Nasal Discharge,Swollen Lymph nodes,Breathing Difficulty,None,None,5
Tick fever,Weight Loss,Lethargy,Breathing Difficulty,Vomiting,Increased drinking and urination,None,None,5
Tick fever,Nasal Discharge,Weight Loss,Lethargy,Breathing Difficulty,Heart Complication,Neurological Disorders,None,6
Tick fever,Weight Loss,Lethargy,Swollen Lymph nodes,Vomiting,None,None,None,4
Tick fever,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,Vomiting,Increased drinking and urination,None,None,5
Tick fever,Fever,Nasal Discharge,Lameness,Breathing Difficulty,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Fever,Loss of appetite,Weight Loss,Lethargy,Vomiting,Neurological Disorders,None,6
Tick fever,Loss of appetite,Swollen Lymph nodes,Heart Complication,Increased drinking and urination,None,None,None,4
Tick fever,Lameness,Lethargy,Breathing Difficulty,Heart Complication,Vomiting,None,None,5
Tick fever,Nasal Discharge,Lameness,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,Neurological Disorders,None,6
Tick fever,Nasal Discharge,Weight Loss,Lameness,Lethargy,Neurological Disorders,None,None,5
Tick fever,Fever,Weight Loss,Swollen Lymph nodes,Vomiting,None,None,None,4
Tick fever,Fever,Loss of appetite,Lameness,Neurological Disorders,None,None,None,4
Tick fever,Loss of appetite,Swollen Lymph nodes,Heart Complication,Increased drinking and urination,Neurological Disorders,None,None,5
Tick fever,Fever,Nasal Discharge,Lameness,Swollen Lymph nodes,Heart Complication,Neurological Disorders,None,6
Tick fever,Fever,Loss of appetite,Nasal Discharge,Swollen Lymph nodes,Neurological Disorders,None,None,5
Tick fever,Fever,Lethargy,Heart Complication,Vomiting,Increased drinking and urination,None,None,5
Tick fever,Lethargy,Breathing Difficulty,Heart Complication,Increased drinking and urination,Neurological Disorders,None,None,5
Tick fever,Fever,Loss of appetite,Nasal Discharge,Weight Loss,Breathing Difficulty,None,None,5
Tick fever,Fever,Weight Loss,Vomiting,Increased drinking and urination,None,None,None,4
Tick fever,Lethargy,Swollen Lymph nodes,Breathing Difficulty,Vomiting,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Loss of appetite,Swollen Lymph nodes,Breathing Difficulty,Increased drinking and urination,Neurological Disorders,None,None,5
Tick fever,Nasal Discharge,Swollen Lymph nodes,Heart Complication,Vomiting,Neurological Disorders,None,None,5
Tick fever,Fever,Weight Loss,Lethargy,Breathing Difficulty,Vomiting,Neurological Disorders,None,6
Tick fever,Loss of appetite,Lethargy,Breathing Difficulty,Vomiting,None,None,None,4
Tick fever,Fever,Swollen Lymph nodes,Breathing Difficulty,Vomiting,Neurological Disorders,None,None,5
Tick fever,Fever,Loss of appetite,Weight Loss,Lameness,Lethargy,Breathing Difficulty,None,6
Tick fever,Nasal Discharge,Lameness,Swollen Lymph nodes,Vomiting,Neurological Disorders,None,None,5
Tick fever,Fever,Lameness,Lethargy,Swollen Lymph nodes,Neurological Disorders,None,None,5
Tick fever,Weight Loss,Lameness,Swollen Lymph nodes,Heart Complication,Neurological Disorders,None,None,5
Tick fever,Fever,Loss of appetite,Heart Complication,Increased drinking and urination,None,None,None,4
Tick fever,Fever,Lethargy,Swollen Lymph nodes,Breathing Difficulty,Vomiting,None,None,5
Tick fever,Lameness,Lethargy,Breathing Difficulty,Vomiting,Increased drinking and urination,None,None,5
Tick fever,Loss of appetite,Nasal Discharge,Breathing Difficulty,Increased drinking and urination,Neurological Disorders,None,None,5
Tick fever,Lameness,Swollen Lymph nodes,Breathing Difficulty,Vomiting,None,None,None,4
Tick fever,Loss of appetite,Lameness,Lethargy,Heart Complication,Increased drinking and urination,None,None,5
Tick fever,Loss of appetite,Lameness,Heart Complication,Increased drinking and urination,None,None,None,4
Tick fever,Loss of appetite,Nasal Discharge,Lethargy,Vomiting,Increased drinking and urination,None,None,5
Tick fever,Fever,Nasal Discharge,Weight Loss,Breathing Difficulty,Heart Complication,None,None,5
Tick fever,Loss of appetite,Weight Loss,Lameness,Vomiting,None,None,None,4
Tick fever,Fever,Loss of appetite,Nasal Discharge,Weight Loss,None,None,None,4
Tick fever,Nasal Discharge,Lameness,Lethargy,Swollen Lymph nodes,Vomiting,Neurological Disorders,None,6
Tick fever,Lameness,Lethargy,Breathing Difficulty,Heart Complication,None,None,None,4
Tick fever,Lameness,Swollen Lymph nodes,Heart Complication,Neurological Disorders,None,None,None,4
Tick fever,Weight Loss,Lethargy,Swollen Lymph nodes,Heart Complication,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Fever,Nasal Discharge,Weight Loss,Swollen Lymph nodes,Increased drinking and urination,None,None,5
Tick fever,Fever,Loss of appetite,Lameness,Swollen Lymph nodes,Vomiting,Neurological Disorders,None,6
Tick fever,Fever,Weight Loss,Lameness,Heart Complication,Vomiting,Increased drinking and urination,None,6
Tick fever,Weight Loss,Lethargy,Increased drinking and urination,Neurological Disorders,None,None,None,4
Tick fever,Weight Loss,Lameness,Lethargy,Swollen Lymph nodes,Heart Complication,Vomiting,None,6
Tick fever,Fever,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,Vomiting,Neurological Disorders,None,6
Tick fever,Loss of appetite,Lethargy,Swollen Lymph nodes,Heart Complication,Increased drinking and urination,None,None,5
Tick fever,Loss of appetite,Weight Loss,Increased drinking and urination,Neurological Disorders,None,None,None,4
Tick fever,Nasal Discharge,Weight Loss,Lameness,Lethargy,Vomiting,Increased drinking and urination,None,6
Tick fever,Loss of appetite,Nasal Discharge,Lethargy,Breathing Difficulty,Heart Complication,None,None,5
Tick fever,Fever,Lameness,Lethargy,Neurological Disorders,None,None,None,4
Tick fever,Loss of appetite,Breathing Difficulty,Vomiting,Increased drinking and urination,None,None,None,4
Tick fever,Fever,Loss of appetite,Nasal Discharge,Lameness,Vomiting,Increased drinking and urination,None,6
Tick fever,Loss of appetite,Weight Loss,Lameness,Swollen Lymph nodes,Heart Complication,Vomiting,None,6
Tick fever,Fever,Nasal Discharge,Weight Loss,Breathing Difficulty,Vomiting,Increased drinking and urination,None,6
Tick fever,Loss of appetite,Weight Loss,Heart Complication,Increased drinking and urination,None,None,None,4
Tick fever,Fever,Nasal Discharge,Breathing Difficulty,Heart Complication,Vomiting,Increased drinking and urination,None,6
Tick fever,Fever,Loss of appetite,Nasal Discharge,Lethargy,Vomiting,Increased drinking and urination,None,6
Tick fever,Loss of appetite,Lameness,Breathing Difficulty,Vomiting,Neurological Disorders,None,None,5
Tick fever,Loss of appetite,Lethargy,Swollen Lymph nodes,Breathing Difficulty,Vomiting,Neurological Disorders,None,6
Tick fever,Nasal Discharge,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,Increased drinking and urination,None,None,5
Tick fever,Fever,Lethargy,Breathing Difficulty,Vomiting,Increased drinking and urination,None,None,5
Tick fever,Loss of appetite,Weight Loss,Lameness,Swollen Lymph nodes,None,None,None,4
Tick fever,Fever,Lameness,Breathing Difficulty,Heart Complication,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Nasal Discharge,Lameness,Lethargy,Vomiting,Neurological Disorders,None,None,5
Tick fever,Loss of appetite,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,Vomiting,None,None,5
Tick fever,Fever,Nasal Discharge,Lethargy,Vomiting,Neurological Disorders,None,None,5
Tick fever,Weight Loss,Lameness,Lethargy,Breathing Difficulty,Heart Complication,Increased drinking and urination,None,6
Tick fever,Fever,Lethargy,Swollen Lymph nodes,Breathing Difficulty,Vomiting,Increased drinking and urination,None,6
Tick fever,Fever,Loss of appetite,Weight Loss,Breathing Difficulty,Heart Complication,Vomiting,None,6
Tick fever,Nasal Discharge,Lameness,Lethargy,Swollen Lymph nodes,Breathing Difficulty,None,None,5
Tick fever,Loss of appetite,Nasal Discharge,Swollen Lymph nodes,Heart Complication,None,None,None,4
Tick fever,Loss of appetite,Lethargy,Breathing Difficulty,Neurological Disorders,None,None,None,4
Tick fever,Nasal Discharge,Lameness,Lethargy,Heart Complication,Vomiting,None,None,5
Tick fever,Nasal Discharge,Lameness,Breathing Difficulty,Heart Complication,Vomiting,None,None,5
Tick fever,Fever,Weight Loss,Lameness,Lethargy,Swollen Lymph nodes,Neurological Disorders,None,6
Tick fever,Fever,Nasal Discharge,Weight Loss,Breathing Difficulty,Neurological Disorders,None,None,5
Tick fever,Weight Loss,Lethargy,Heart Complication,Neurological Disorders,None,None,None,4
Tick fever,Lameness,Lethargy,Breathing Difficulty,Vomiting,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Loss of appetite,Weight Loss,Lameness,Breathing Difficulty,Neurological Disorders,None,None,5
Tick fever,Fever,Loss of appetite,Lameness,Heart Complication,Vomiting,Increased drinking and urination,None,6
Tick fever,Nasal Discharge,Weight Loss,Lethargy,Breathing Difficulty,Vomiting,None,None,5
Tick fever,Nasal Discharge,Weight Loss,Lameness,Swollen Lymph nodes,Vomiting,Increased drinking and urination,None,6
Tick fever,Weight Loss,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,Neurological Disorders,None,None,5
Tick fever,Fever,Lameness,Swollen Lymph nodes,Increased drinking and urination,None,None,None,4
Tick fever,Fever,Nasal Discharge,Breathing Difficulty,Heart Complication,Vomiting,Neurological Disorders,None,6
Tick fever,Loss of appetite,Weight Loss,Lethargy,Heart Complication,Vomiting,Neurological Disorders,None,6
Tick fever,Loss of appetite,Weight Loss,Vomiting,Increased drinking and urination,Neurological Disorders,None,None,5
Tick fever,Fever,Weight Loss,Vomiting,Neurological Disorders,None,None,None,4
Tick fever,Nasal Discharge,Lethargy,Breathing Difficulty,Neurological Disorders,None,None,None,4
Tick fever,Lameness,Swollen Lymph nodes,Vomiting,Increased drinking and urination,Neurological Disorders,None,None,5
Tick fever,Fever,Loss of appetite,Weight Loss,Lethargy,Vomiting,None,None,5
Tick fever,Fever,Loss of appetite,Weight Loss,Lameness,Lethargy,Heart Complication,None,6
Tick fever,Fever,Loss of appetite,Weight Loss,Lethargy,Heart Complication,Neurological Disorders,None,6
Tick fever,Fever,Nasal Discharge,Lameness,Lethargy,Neurological Disorders,None,None,5
Tick fever,Loss of appetite,Nasal Discharge,Lameness,Vomiting,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Fever,Loss of appetite,Lethargy,Breathing Difficulty,None,None,None,4
Tick fever,Fever,Loss of appetite,Breathing Difficulty,Vomiting,None,None,None,4
Tick fever,Fever,Nasal Discharge,Weight Loss,Lethargy,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Nasal Discharge,Weight Loss,Lameness,Heart Complication,None,None,None,4
Tick fever,Weight Loss,Lameness,Lethargy,Breathing Difficulty,None,None,None,4
Tick fever,Fever,Loss of appetite,Nasal Discharge,Swollen Lymph nodes,Heart Complication,None,None,5
Tick fever,Loss of appetite,Weight Loss,Lameness,Heart Complication,Neurological Disorders,None,None,5
Tick fever,Fever,Weight Loss,Lethargy,Breathing Difficulty,Increased drinking and urination,None,None,5
Tick fever,Fever,Loss of appetite,Nasal Discharge,Lethargy,Breathing Difficulty,Vomiting,None,6
Tick fever,Fever,Loss of appetite,Nasal Discharge,Weight Loss,Increased drinking and urination,None,None,5
Tick fever,Fever,Nasal Discharge,Lethargy,Vomiting,None,None,None,4
Tick fever,Fever,Nasal Discharge,Weight Loss,Lameness,Breathing Difficulty,None,None,5
Tick fever,Fever,Nasal Discharge,Heart Complication,Neurological Disorders,None,None,None,4
Tick fever,Fever,Nasal Discharge,Swollen Lymph nodes,Heart Complication,Vomiting,Increased drinking and urination,None,6
Tick fever,Fever,Nasal Discharge,Lameness,Neurological Disorders,None,None,None,4
Tick fever,Lethargy,Breathing Difficulty,Heart Complication,Vomiting,Neurological Disorders,None,None,5
Tick fever,Loss of appetite,Nasal Discharge,Lethargy,Swollen Lymph nodes,Vomiting,Neurological Disorders,None,6
Tick fever,Loss of appetite,Lameness,Lethargy,Swollen Lymph nodes,Breathing Difficulty,Vomiting,None,6
Tick fever,Loss of appetite,Nasal Discharge,Weight Loss,Lameness,Breathing Difficulty,Vomiting,None,6
